EngSize,Age,Gender,Marital,exp,Owner,vAge,Garage,AntiTFD,import,Loss
1.8,38,M,married,17,company,5,Y,Y,Domestic,0
2.2,53,M,married,17,personal,4,Y,N,Domestic,0
1.8,47,M,married,17,personal,4,Y,N,Domestic,2200
1.8,46,M,married,17,government,4,Y,N,Domestic,0
2,44,M,married,17,government,4,Y,N,Imported,0
1.8,43,M,married,17,company,4,N,N,Domestic,0
1.8,40,M,married,17,company,4,N,N,Imported,0
1.8,40,M,married,17,personal,4,Y,Y,Domestic,0
1.8,38,M,married,17,personal,4,Y,N,Domestic,0
1.8,37,M,married,17,company,4,Y,N,Domestic,0
1.8,50,M,married,17,company,3,Y,N,Domestic,0
1.8,48,M,married,17,personal,3,Y,N,Domestic,904
1.6,45,M,married,17,personal,3,Y,N,Domestic,0
1.8,44,M,married,17,government,3,Y,N,Domestic,0
2,41,M,married,17,personal,3,Y,N,Imported,0
1.8,39,M,married,17,company,3,Y,N,Domestic,0
3,39,M,married,17,personal,3,N,N,Imported,0
3,38,M,married,17,company,3,Y,N,Imported,0
1.6,46,M,married,17,personal,2,Y,N,Domestic,0
2,46,M,married,17,company,2,Y,N,Imported,0
1.8,45,M,married,17,government,2,Y,N,Domestic,0
1,41,M,married,17,company,2,Y,N,Imported,0
1.8,40,M,married,17,personal,2,N,N,Domestic,0
1.1,38,M,married,17,government,2,Y,N,Domestic,0
1.8,52,M,married,17,company,1,N,Y,Domestic,0
1.8,52,M,married,17,company,1,N,Y,Domestic,0
1.8,51,M,married,17,personal,1,N,Y,Domestic,0
1.8,50,M,married,17,personal,1,Y,Y,Imported,5457.8
1.6,48,M,married,17,personal,1,Y,N,Domestic,352.5
1.8,47,M,married,17,personal,1,Y,N,Domestic,0
1.8,47,M,married,17,company,1,Y,N,Domestic,0
2,47,M,married,17,personal,1,Y,Y,Domestic,544
1.8,46,M,married,17,personal,1,Y,N,Domestic,0
2,45,M,married,17,government,1,Y,N,Imported,0
1.6,44,M,married,17,personal,1,Y,N,Domestic,0
1.8,43,M,married,17,government,1,Y,N,Domestic,0
1.8,43,M,married,17,personal,1,N,N,Domestic,0
2.4,43,M,married,17,personal,1,Y,Y,Imported,816
1.8,42,M,married,17,personal,1,Y,Y,Domestic,13102
2,42,M,married,17,government,1,Y,N,Domestic,0
1.6,41,M,married,17,company,1,Y,N,Domestic,0
1.8,41,F,married,17,personal,1,Y,N,Imported,0
1.8,41,M,married,17,company,1,Y,N,Domestic,0
1.8,40,M,married,17,personal,1,Y,N,Domestic,0
1.8,40,M,married,17,personal,1,Y,Y,Domestic,208
2,40,M,married,17,company,1,Y,N,Domestic,0
2,40,M,married,17,personal,1,N,Y,Domestic,0
2,40,M,married,17,government,1,Y,Y,Imported,280
2.3,40,M,married,17,company,1,Y,Y,Imported,3178.6
2.8,40,M,married,17,company,1,Y,N,Imported,800
1.8,39,M,married,17,personal,1,Y,Y,Domestic,5853.6
2,39,M,married,17,personal,1,Y,Y,Domestic,0
1.3,38,M,married,17,personal,1,Y,N,Domestic,0
2,38,M,married,17,company,1,Y,Y,Imported,0
2.3,38,M,married,17,company,1,Y,Y,Imported,0
1.8,37,M,married,17,personal,1,N,N,Domestic,0
2,37,M,married,17,personal,1,Y,Y,Imported,2545.2
1.8,36,M,married,17,company,1,Y,N,Domestic,0
2.8,36,M,married,17,personal,1,N,Y,Domestic,0
1.8,35,M,married,17,government,1,Y,N,Domestic,0
1.6,37,M,married,16,personal,10,Y,N,Domestic,0
1.6,37,M,married,16,company,10,Y,N,Domestic,240
2,38,M,married,16,government,9,N,N,Imported,0
1.8,54,M,married,16,company,8,Y,N,Domestic,0
1.6,53,M,married,16,company,8,Y,N,Domestic,0
2,48,M,married,16,company,8,Y,Y,Imported,0
1.8,38,M,married,16,company,8,Y,N,Imported,0
1.6,35,M,married,16,company,8,Y,N,Domestic,0
1.8,54,M,married,16,company,7,Y,N,Domestic,0
2.2,50,M,married,16,government,7,N,N,Imported,0
1.8,49,M,married,16,personal,7,Y,N,Imported,0
2.5,46,M,married,16,government,7,Y,N,Domestic,0
1.6,45,M,married,16,government,7,Y,Y,Domestic,0
1.2,40,M,married,16,personal,7,Y,N,Domestic,386
1.8,38,M,married,16,company,7,Y,N,Imported,0
2,50,M,married,16,company,6,N,N,Imported,0
1.8,40,M,married,16,company,6,Y,N,Domestic,0
2,39,M,married,16,company,6,N,N,Domestic,0
1.8,37,M,married,16,personal,6,Y,N,Domestic,0
2,35,M,married,16,government,6,N,Y,Domestic,0
1.8,54,M,married,16,personal,5,Y,N,Domestic,0
1.8,38,M,married,16,personal,5,Y,N,Domestic,0
1.8,52,M,married,16,company,4,Y,N,Domestic,8699.4
1.8,38,M,married,16,personal,4,Y,N,Domestic,0
2,38,M,married,16,company,4,Y,N,Imported,0
1.8,36,M,married,16,personal,4,Y,N,Domestic,0
1.8,36,M,married,16,government,4,N,N,Domestic,0
1.8,41,M,married,16,government,3,Y,Y,Domestic,0
2,41,M,married,16,government,3,N,N,Imported,0
2.2,41,M,married,16,government,3,N,N,Imported,0
1.8,39,M,married,16,government,3,Y,N,Domestic,0
1.8,39,M,married,16,company,3,Y,N,Domestic,240
1.6,38,M,married,16,personal,3,Y,N,Domestic,0
1.8,38,M,married,16,personal,3,Y,Y,Domestic,0
2,38,M,married,16,government,3,N,N,Imported,0
1.8,37,M,married,16,government,3,N,N,Domestic,212
1.6,35,M,married,16,government,3,Y,N,Domestic,0
2,54,M,married,16,personal,2,Y,Y,Domestic,1208
1.8,40,M,married,16,company,2,Y,Y,Domestic,0
1.8,40,F,married,16,personal,2,Y,N,Domestic,0
1.6,39,M,married,16,company,2,Y,N,Imported,0
1.8,37,M,married,16,company,2,Y,N,Imported,0
1.8,36,M,married,16,personal,2,Y,Y,Domestic,0
2,36,M,married,16,personal,2,Y,N,Domestic,0
2,36,M,married,16,company,2,Y,N,Imported,0
1.6,49,M,married,16,personal,1,Y,N,Imported,0
1.8,47,M,married,16,personal,1,Y,N,Domestic,0
1.6,46,M,married,16,personal,1,Y,N,Domestic,0
1.8,46,M,married,16,company,1,Y,N,Domestic,0
2.4,42,M,married,16,personal,1,Y,N,Imported,960
1.8,41,M,married,16,government,1,N,N,Domestic,0
2.2,41,M,married,16,government,1,Y,N,Imported,2240
1.6,40,M,married,16,personal,1,Y,N,Domestic,0
1.6,40,M,married,16,company,1,Y,N,Domestic,0
1.8,39,M,married,16,personal,1,Y,Y,Imported,0
1.8,39,M,married,16,company,1,Y,N,Domestic,0
1.8,39,M,married,16,company,1,Y,N,Imported,0
2,39,M,married,16,personal,1,Y,N,Imported,0
2.3,39,M,married,16,personal,1,Y,N,Imported,2928
1.8,37,M,married,16,personal,1,N,Y,Domestic,0
2,37,M,married,16,company,1,Y,N,Imported,0
1.8,36,M,married,16,company,1,Y,N,Domestic,0
1.8,36,M,married,16,personal,1,Y,N,Imported,0
1.8,35,M,married,16,personal,1,Y,N,Domestic,0
1.8,35,M,married,16,company,1,Y,N,Imported,0
1.8,34,M,married,16,government,1,Y,N,Imported,2910.4
1.8,46,M,married,15,company,10,Y,N,Domestic,0
1.5,40,M,married,15,company,10,Y,Y,Imported,0
3,36,M,married,15,government,10,Y,Y,Imported,0
3,38,M,married,15,company,9,N,N,Imported,1040
2,43,M,married,15,company,8,Y,N,Imported,0
3,43,M,married,15,company,8,Y,N,Imported,0
1.6,41,M,married,15,personal,7,N,N,Domestic,896
1.8,41,M,married,15,company,7,Y,N,Imported,0
1.8,41,M,married,15,personal,7,Y,N,Domestic,0
1.6,33,M,married,15,personal,7,Y,N,Domestic,0
1.6,42,M,married,15,government,6,Y,N,Domestic,400
1.6,41,M,married,15,personal,6,Y,N,Domestic,239.2
1.8,41,M,married,15,company,6,N,N,Domestic,0
1.6,39,M,married,15,company,6,Y,N,Domestic,0
1.8,37,M,married,15,government,6,Y,N,Domestic,0
1.6,36,M,married,15,personal,6,Y,N,Domestic,0
1.8,52,M,married,15,personal,5,Y,Y,Domestic,1814.4
2,51,M,married,15,company,5,N,N,Domestic,0
2.2,41,M,married,15,company,5,Y,N,Imported,5184
1.8,40,M,married,15,personal,5,Y,N,Domestic,0
2.2,40,M,married,15,personal,5,Y,N,Imported,0
1.8,39,M,married,15,government,5,Y,N,Domestic,0
2,39,M,married,15,government,5,Y,N,Domestic,872
1.8,38,M,married,15,government,5,N,N,Domestic,0
1.8,46,M,married,15,company,4,Y,N,Domestic,0
2,40,M,married,15,company,4,N,N,Domestic,2711.5
2,39,M,married,15,personal,4,Y,N,Imported,0
1.8,35,M,married,15,company,4,Y,N,Domestic,0
